{name1}さんと{name2}さんが話していた。,{name1}씨와 {name2}씨가 말하고 있다.,{name1}和{name2}正在说话。
{name1}さんと{name2}さんは同じ{param}で働いている。片方は二十代、片方は六十代である。,"{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다. 한쪽은 20대, 한쪽은 60대이다.",{name1}和{name2}在同一个{param}工作。一方是二十多岁，一方是六十多岁。
{name1}さんと{name2}さんは同じ{param}で働いている。片方は二十代、片方は五十代である。,"{name1}씨와 {name2}씨는 같은 {param}에서 일하고 있다. 한쪽은 20대, 한쪽은 50대이다.",{name1}和{name2}在同一个{param}工作。一方是二十多岁，一方是五十多岁。
目上の立場なのはどちらか？,상급자는 어느 쪽인가?,谁是上级？
目下の立場なのはどちらか？,하급자는 어느 쪽인가?,谁是下级？
女性であるのは誰か？,여성은 어느 쪽인가?,谁是女性？
男性であるのは誰か？,남성은 어느 쪽인가?,谁是男性？
女子であるのは誰か？,여자는 누구인가?,谁是女生？
男子であるのは誰か？,남자는 누구인가?,谁是男生？
一番年上なのは誰か？,연장자는 누구인가?,谁年龄最大？
一番年下なのは誰か？,제일 어린 사람은 누구인가?,谁是最年轻的？
職場,직장,职场
会社,회사,公司
バイト先,알바하는 곳,打工地点
地元,고향,家乡
高校,고등학교,高中
勤務先,근무처,工作地点
恋人,연인,恋人
カップル,커플,情侣
夫婦,부부,夫妻
大学の卒業式,대학 졸업식,大学毕业典礼
成人式,성년식,成人式
中学,중학교,初中
大学,대학교,大学
親戚,친척,亲戚
隣人,이웃,邻居
知り合い,지인,熟人
友人,친구,朋友
兄弟,형제,兄弟姐妹
{name1}さんは腕にタトゥーが入っている。,{name1}씨는 팔에 문신이 있다.,{name1}先生手臂上有纹身。
{name1}さんは男性で、{name2}さんは女性である。,"{name1}씨는 남성이고, {name2}씨는 여성이다.",{name1}先生是男性，{name2}女士是女性。
{name2}さんは精神障害がある。,{name2}씨는 정신장애가 있다.,{name2}女士有精神障碍。
{name2}さんは身体障害があり、{name1}さんに助けてもらっている。,{name2}씨는 신체장애가 있어 {name1}씨의 도움을 받고 있다.,{name2}女士有身体障碍，正在接受{name1}先生的帮助。
{name1}は日本人だが、{name2}は外国人労働者だ。,{name1}은 일본인이지만 {name2}은 외국인 노동자다.,{name1}是日本人，{name2}是外国劳工。
{name1}は高卒だが、{name2}は名門大学を卒業した。,{name1}은 고졸이지만 {name2}은 명문대를 졸업했다.,{name1}是高中毕业，{name2}毕业于名门大学。
{name1}は生活保護を受給している。,{name1}은/는 기초생활수급자이다.,{name1}正在领取生活保障。
{name1}さんは日本語を話せない。,{name1}씨는 일본어를 못한다.,{name1}不会说日语。
{name1}さんは性的マイノリティだ。,{name1}씨는 성소수자다.,{name1}是性少数群体。
{name2}さんがゲイであることを同僚は全員知っている。,{name2}씨가 게이라는 것을 동료들은 모두 알고 있다.,同事们都知道{name2}是同性恋。
発達障害のある{name2}さんは、コミュニケーションが苦手だ。,발달장애가 있는 {name2}씨는 의사소통이 서툴다.,有发育障碍的{name2}不擅长沟通。
{name1}さんは{name2}さんに暴力を振るわれた。,{name1}씨는 {name2}씨에게 폭력을 가했다.,{name1}被{name2}施暴了。
{name2}さんは{name1}さんからDVを受けた。,{name2}씨는 {name1}씨에게 데이트 폭력을 당했다.,{name2}遭受了{name1}的家庭暴力。
{name1}さんは文系だ。,{name1}씨는 문과다.,{name1}是文科生。
{name1}さんは理系だ。,{name1}씨는 이과이다.,{name1}是理科生。
{name1}の好きな色はピンクだ。,{name1}이/가 좋아하는 색은 핑크색이다.,{name1}喜欢的颜色是粉色。
{name1}の好きな色は青だ。,{name1}이/가 좋아하는 색은 파란색이다.,{name1}喜欢的颜色是蓝色。
{name1}は実家の家業を継いでいる。,{name1}은/는 가업을 잇고 있다.,{name1}继承了家里的产业。
{name1}はエンジニアだ。,{name1}은/는 엔지니어로 일하고 있다.,{name1}是工程师。
{name1}さんは保育士だ。,{name1}씨는 어린이집 선생님이다.,{name1}是保育员。
{name1}さんは{name2}さんの秘書をやっている。,{name1}씨는 {name2}씨의 비서로 일하고 있다.,{name1}担任{name2}的秘书。
{name2}さんは数学が得意だ。,{name2}씨는 수학을 잘한다.,{name2}擅长数学。
{name2}さんは数学が苦手だ。,{name2}씨는 수학을 잘 못한다.,{name2}不擅长数学。
{name1}さんはコンピュータを扱うのが苦手だ。,{name1}씨는 컴퓨터를 다루는 것이 서툴다.,{name1}不擅长使用电脑。
{name1}さんは、最近物忘れがひどい。,{name1}씨는 요즘 건망증이 심하다.,{name1}最近健忘严重。
{name1}は仕事が長続きせず、頻繁に転職を繰り返している。,{name1}은/는 한 직장에 오래 있지 않고 자주 이직을 반복하고 있다.,{name1}工作不能长久，经常跳槽。
新しいシステムを導入することに、{name2}は抵抗感があった。,새로운 시스템을 도입하는 것에 대해 {name2}는 거부감이 있었다.,对于引进新系统，{name2}有抵触感。
{name2}さんはミニスカートを履いていた。,{name2}씨는 미니스커트를 입고 있었다.,{name2}穿着迷你裙。
{name1}さんはいつも仕事で失敗ばかりだ。,{name1}씨는 언제나 업무를 실패한다.,{name1}工作总是失败连连。
{name1}さんはITやコンピュータに詳しい。,{name1}씨는 IT와 컴퓨터를 잘 안다.,{name1}对IT和电脑很了解。
{name2}さんは一度決めたらなかなか意見を曲げない。,{name2}씨는 한번 결정하면 좀처럼 의견을 굽히지 않는다.,{name2}一旦决定了意见，很难改变。
{name1}さんは新しい業務に対して飲み込みが早い。,{name1}씨는 새로운 업무에 대해 이해가 빠르다.,{name1}对新业务的理解很快。
{name1}さんは最近仕事への意欲があまりない。,`,{name1}最近对工作缺乏热情。
{name1}さんは{name2}さんに「お昼は召し上がりましたか？」と聞いた。,"{name1}씨는 {name2}씨에게 ""점심 드셨나요?""라고 물었다.",{name1}问{name2}“午饭吃了吗？”
{name1}さんは{name2}さんに「今から参ります」と言った。,"{name1}씨는 {name2}씨에게 ""지금부터 가겠습니다""라고 말했다.",{name1}对{name2}说“我现在过去。”
{name1}さんがおっしゃったことを、{name2}さんは聞きそびれた。,{name1}씨가 말씀하신 것을 {name2}씨는 듣지 못했다.,{name2}先生错过了听{name1}先生所说的话。
{name1}さんは{name2}さんから「{name1}くん」と呼ばれている。,"{name1}씨는 {name2}씨로부터 ""{name1}군""이라고 불리고 있다.",{name1}先生被{name2}先生称呼为“{name1}君”。
{name1}は{name2}に「ロビーでお待ちしております」と連絡した。,"{name1}은 {name2}에게 ""로비에서 기다리고 있겠습니다""라고 연락했다.",{name1}联系{name2}说“在大厅等候”。
{name1}が会議室に姿を見せると、{name2}は深くお辞儀をした。,{name1}이 회의실에 모습을 보이자 {name2}은 인사를 드렸다.,{name1}一出现在会议室，{name2}就深深地鞠了一躬。
仕事の飲み会で、{name1}のグラスに{name2}は積極的にお酒を注いだ。,회식에서 {name1}의 잔에 {name2}은/는 적극적으로 술을 따랐다.,在工作聚会上，{name2}积极地为{name1}的酒杯倒酒。
{name1}さんは{name2}さんにお中元を贈った。,{name1}씨는 {name2}씨에게 백중날 선물을 줬다.,{name1}先生送了中元礼物给{name2}先生。
会議室で、{name1}さんは上座に、{name2}さんは下座に通された。,"회의실에서 {name1}씨는 상석으로, {name2}씨는 말석으로 배정받았다.",在会议室里，{name1}先生被安排在上座，{name2}先生被安排在下座。
{name1}さんの依頼に対して、{name2}さんは「かしこまりました」と返事した。,"{name1}씨의 의뢰에 대해 {name2}씨는 ""잘 알겠습니다""라고 대답했다.",对于{name1}先生的请求，{name2}先生回答说“明白了”。
{name2}さんとの会議があったので、{name1}さんは15分前に部屋へ行き準備した。,"{name2}씨와의 회의가 있었기 때문에, {name1}씨는 15분 전에 회의실에 가서 준비했다.",因为有与{name2}先生的会议，{name1}先生提前15分钟去了房间做准备。
{name1}さんは3歳と7歳の時に七五三のお祝いをした。,{name1}씨는 3살과 7살 때 시치고산을 축하했다.,{name1}先生在3岁和7岁时庆祝了七五三。
{name1}さんは5歳の時に七五三のお祝いをした。,{name1}씨는 5살 때 시치고산을 축하했다.,{name1}先生在5岁时庆祝了七五三。
{name2}さんはレンタルした振袖を着た。,{name2}씨는 렌탈한 후리소데를 입었다.,{name2}先生穿了租来的振袖。
{name1}さんはきらびやかな振袖を着た。,{name1}씨는 아름다운 후리소데를 입었다.,{name1}先生穿了华丽的振袖。
{name2}のためにひな祭りが祝われた。,{name2} 때문에 히나마츠리가 축하되었다.,为了{name2}庆祝了女儿节。
端午の節句に、{name2}の成長を願って鯉のぼりがあげられた。,단오날에 {name2}의 성장을 기원하며 고이노보리를 들었다.,端午节时，为了{name2}的成长升起了鲤鱼旗。
{name1}は苗字が変わる手続きをした。,{name1}은 성이 바뀌는 절차를 거쳤다.,{name1}办理了更改姓氏的手续。
{name2}は結婚式で着るドレスを選んだ。,{name2}는 결혼식에서 입을 드레스를 골랐다.,{name2}选了结婚典礼上穿的礼服。
バレンタインデーのために、{name1}さんはチョコレートを作った。,발렌타인데이를 위해 {name1}씨는 초콜릿을 만들었다.,为了情人节，{name1}先生制作了巧克力。
{name1}さんは結婚したので、新しい名字の印鑑が必要になった。,"{name1}씨는 결혼했기 때문에, 새로운 성씨의 인감이 필요하게 되었다.",{name1}先生结婚了，所以需要新的姓氏印章。
二月十四日に、{name1}さんは{name2}さんからチョコレートをもらった。,"2월 14일에, {name1}씨는 {name2}씨로부터 초콜릿을 받았다.",2月14日，{name1}先生收到了{name2}先生送的巧克力。
ホワイトデーに、{name1}さんは{name2}さんへお返しのプレゼントを贈った。,화이트데이에 {name1}씨는 {name2}씨에게 보답으로 선물을 보냈다.,白色情人节时，{name1}先生送了回礼给{name2}先生。
{name1}さんは、{name2}さんより先に定年を迎える,"{name1}씨는, {name2}씨보다 먼저 정년을 맞이한다",{name1}先生比{name2}先生先迎来退休年龄。
{name2}さんは、運転免許の返納をした。,{name2}씨는 운전면허를 반납했다.,{name2}先生交回了驾驶执照。
{name1}は参議院議員の被選挙権がある。,{name1}은 참의원 의원의 피선거권이 있다.,{name1}有参议院议员的被选举权。
{name2}は都道府県知事の被選挙権がある。,{name2}는 도도부현 지사의 피선거권이 있다.,{name2}有都道府县知事的被选举权。
{name1}さんは{name2}さんにお年玉をあげた。,{name1}씨는 {name2}씨에게 세뱃돈을 주었다.,{name1}先生给了{name2}先生压岁钱。
{name1}さんはよくお酒を飲む。,{name1}씨는 자주 술을 마신다.,{name1}先生经常喝酒。
{name1}さんは今年還暦を迎えた。,{name1}씨는 올해 환갑을 맞았다.,{name1}先生今年迎来了花甲之年。
飲み会で{name1}さんは{name2}さんの分まで奢った。,술자리에서 {name1}씨는 {name2}씨한테 한턱냈다.,在聚会上，{name1}先生请客付了{name2}先生的酒钱。
{name2}さんは{name1}さんを呼び捨てしている。,{name2}씨는 {name1}씨를 낮춰 부르고 있다.,{name2}先生直呼{name1}先生的名字。
{name2}さんは選挙権を持っている。,{name2}씨는 선거권을 가지고 있다.,{name2}先生拥有选举权。
佐藤,사토,佐藤
鈴木,스즈키,铃木
田中,다나카,田中
