--- CONTEXT ---	日本語訳 (Japanese Translation)
{name1}和{name2}协调{param}联合实验室。	{name1}と{name2}は{param}の共同研究室を調整している。
{name1}和{name2}在{param}争取商会资源。	{name1}と{name2}は{param}で商工会の資源を獲得しようと努めている。
{name1}和{name2}在{param}争取公益赞助。	{name1}と{name2}は{param}で公益のための寄付を獲得しようと努めている。
{name1}和{name2}在{param}协调村企合作。	{name1}と{name2}は{param}で村と企業の協力を調整している。
{name1}和{name2}在{param}争取文旅联盟名额。	{name1}と{name2}は{param}で文化観光連盟の枠を獲得しようと努めている。
{name1}和{name2}在{param}联系校友基金。	{name1}と{name2}は{param}で学校基金会と連絡を取っている。
{name1}和{name2}在{param}推动科技成果转化。	{name1}と{name2}は{param}で科学技術成果の転化を推進している。
{name1}和{name2}在{param}协调驻外商会名额。	{name1}と{name2}は{param}で海外駐在商会の枠を調整している。
{name1}和{name2}在{param}讨论价格。	{name1}と{name2}は{param}で価格を議論している。
{name1}和{name2}在{param}向市里汇报。	{name1}と{name2}は{param}で市当局に報告している。
{name1}和{name2}在{param}回应客户投诉。	{name1}と{name2}は{param}で顧客のクレームに対応している。
{name1}和{name2}在{param}讨论裁员方案。	{name1}と{name2}は{param}でリストラ計画を議論している。
{name1}和{name2}在{param}向教授汇报合作。	{name1}と{name2}は{param}で教授に提携について報告している。
{name1}和{name2}在{param}被临时加派任务。	{name1}と{name2}は{param}で臨時に任務を追加で割り当てられた。
{name1}和{name2}在{param}审议提案。	{name1}と{name2}は{param}で提案を審議している。
{name1}和{name2}在{param}讨论合作细节。	{name1}と{name2}は{param}で提携の細部を議論している。
{name1}和{name2}在{param}处理失误。	{name1}と{name2}は{param}でミスに対処している。
{name1}和{name2}在{param}讨论考核指标。	{name1}と{name2}は{param}で評価指標を議論している。
{name1}和{name2}陪领导参加{param}。	{name1}と{name2}は指導者に同行して{param}に参加した。
{name1}和{name2}在{param}招待外地客户。	{name1}と{name2}は{param}で遠方の顧客をもてなしている。
{name1}和{name2}在{param}为合作方接风。	{name1}と{name2}は上司に同行して{param}に参加した。
{name1}和{name2}在{param}陪同检查组。	{name1}と{name2}は{param}で検査団に同行している。
{name1}和{name2}在{param}与供应商见面。	{name1}と{name2}は{param}で仕入先と面会している。
{name1}和{name2}在{param}庆祝投产。	{name1}と{name2}は{param}で生産開始を祝っている。
{name1}和{name2}在{param}迎接考察团。	{name1}と{name2}は{param}で視察団を迎えている。
{name1}和{name2}在{param}陪同老领导。	{name1}と{name2}は{param}でベテラン上司に同行している。
{name1}和{name2}在{param}宴请合作社代表。	{name1}と{name2}は{param}で協同組合代表を招待して宴会を催した。
{name1}和{name2}在{param}招待外方团队。	{name1}と{name2}は{param}でベテランの上司に同行している。
{name1}和{name2}在{param}负责夜班。	{name1}と{name2}は{param}で夜勤を担当している。
{name1}和{name2}在{param}保障大型活动。	{name1}と{name2}は{param}で大型イベントの保全を担当している。
{name1}和{name2}在{param}组织志愿服务。	{name1}と{name2}は{param}でボランティア活動を組織している。
{name1}和{name2}在{param}负责对外宣传。	{name1}と{name2}は{param}で対外宣伝を担当している。
{name1}和{name2}在{param}负责社区值守。	{name1}と{name2}は{param}でコミュニティの当直を担当している。
{name1}和{name2}在{param}负责共享数据。	{name1}と{name2}は{param}でデータ共有を担当している。
{name1}和{name2}在{param}负责审批流。	{name1}と{name2}は{param}で承認フローを担当している。
{name1}和{name2}在{param}负责信息播报。	{name1}と{name2}は{param}で情報放送を担当している。
{name1}和{name2}在{param}负责联合发布。	{name1}と{name2}は{param}で共同発表を担当している。
{name1}和{name2}在{param}负责会议纪要。	{name1}と{name2}は{param}で会議録を担当している。
	
--- QUESTION ---	日本語訳 (Japanese Translation)
谁负责在平板上录入巡检数据？	誰がタブレットへの巡回点検データ入力を担当しますか？
谁更可能第一时间接起突发来电？	誰が真っ先に突発的な着信を取る可能性が高いですか？
谁被安排先演示修复扫码机？	誰が先にコード読み取り機の修理デモンストレーションをするよう手配されましたか？
谁要现场打开手机演示报销？	誰が現場で携帯電話を開き、経費精算を実演する必要がありますか？
谁被猜测更懂调试软件？	誰がソフトウェアのデバッグをより理解していると推測されますか？
谁负责点击示范电脑流程？	誰がクリックしてコンピューターの操作手順を実演する役目を担いますか？
谁先连接调试软件？	誰が先にデバッグソフトウェアを接続しますか？
谁负责现场投屏演示？	誰が現場での画面ミラーリングでのデモンストレーションを担当しますか？
谁被安排佩戴头盔做示范？	誰がヘルメットを着用して実演をするよう手配されましたか？
谁被猜测能更快适应新系统？	誰が新システムに素早く順応できると推測されますか？
谁被认为更会拧紧螺丝？	誰がより上手にネジを締めることができると見なされますか？
谁承担编写模型代码？	誰がモデルのコード記述を担いますか？
谁坐在调度席上分配任务？	誰が指令席に座って任務を割り当てますか？
谁负责讲解安全方案？	誰が安全計画の説明を担当しますか？
谁被认为更会倒车？	誰がより上手にバックができると見なされますか？
谁负责主讲投资规划？	誰が投資計画の発表を担当しますか？
谁被安排先开车？	誰が運転をするよう手配されましたか？
谁负责爬上梯子检修？	誰が梯子に登って点検修理を担当しますか？
谁被安排坚持关键条款？	誰が重要条項を主張するよう手配されましたか？
谁负责介绍技术细节？	誰が技術的な詳細を紹介する役目を担いますか？
谁更可能是部门负责人？	誰がより部署の責任者である可能性が高いですか？
谁级别更高？	誰がよりレベルが高いですか？
谁更可能是检查组长？	誰がより検査団のリーダーである可能性が高いですか？
谁代表企业发言？	誰が企業を代表して発言しますか？
谁受邀坐主桌？	誰が招待を受けて主賓席に座りますか？
谁是被汇报的负责人？	誰が報告を受ける側の責任者ですか？
谁更可能是董事长的秘书？	誰がより会長の秘書である可能性が高いですか？
谁更像被考核的负责人？	誰がより査定される側の責任者のように見えますか？
谁拥有正式发言权？	誰が正式な発言権を持っていますか？
谁代表协会表态？	誰が協会を代表して態度を表明しますか？
谁更可能拿下合作？	誰がより提携を勝ち取る可能性が高いですか？
谁在委婉拒绝客户？	誰が遠回しに顧客を断っていますか？
谁在给领导台阶？	誰が指導者に「階段」を与えていますか？
谁在含蓄表达不满？	誰が含蓄をもって不満を表明していますか？
谁在避免当众拆台？	誰が公衆の面前で「潰すこと」を避けていますか？
谁在委婉提醒对方留面子？	誰が遠回しに相手に面子を保つよう促していますか？
谁在婉转拒绝追加任务？	誰が婉曲に追加の任務を断っていますか？
谁在暗示提案需要调整？	誰が提案の調整が必要だと暗に示していますか？
谁在通过夸赞转向另一个方案？	誰が褒めることを通して別の案に話を切り替えていますか？
谁在避免让对方下不来台？	誰が相手が困った立場にならないように避けていますか？
谁在用含蓄话术表达反对？	誰が含蓄のある言い方で反対を表明していますか？
谁更懂敬酒礼数？	誰がより献杯の作法をわきまえていますか？
谁更可能被认为破坏团队节奏？	誰がよりチームのペースを乱していると見なされる可能性が高いですか？
谁更可能被批评为不顾集体？	誰がより集団を顧みないと批判される可能性が高いですか？
谁更可能被怀疑只顾自己？	誰がより自分勝手だと疑われる可能性が高いですか？
谁更可能被指破坏整体口径？	誰がより全体の統一見解を乱したと指摘される可能性が高いですか？
谁更可能被认定破坏纪律？	誰がより規律を破ったと認定される可能性が高いですか？
谁更可能被视为不共享成果？	誰がより成果を共有しないと見なされる可能性が高いですか？
谁更可能被认为打破规则？	誰がより規則を破ったと見なされる可能性が高いですか？
谁更可能被说成“不合群”？	誰がより「集団に馴染まない」と言われる可能性が高いですか？
谁更可能被认为抢功？	誰がより手柄を横取りしたと見なされる可能性が高いですか？
谁更可能被指责破坏共识？	誰がよりコンセンサスを破壊したと非難される可能性が高いですか？
	
--- PARAM ---	日本語訳
车间	作業場
班组	作業チーム
工位	作業スペース
客服台	顧客サービスカウンター
服务热线	サービスホットライン
值守点	警備詰所
超市	スーパーマーケット
门店	店舗
收银台	レジカウンター
机关	行政機関
科室	課室
大厅	ロビー
仓库	倉庫
工地	工事現場
楼层	フロア
服务窗	サービス窓口
社区站	コミュニティ拠点
街道点	街道拠点
园区	工業団地
试验道	試験走行路
研发室	研究開発室
文化礼堂	文化ホール
活动室	活動室
村委会	村委員会
工厂	工場
检修区	点検修理エリア
培训室	研修室
调度室	配車指令室
指挥台	指令台
值班室	当直室
机库	格納庫
试飞场	試験飛行場
维护间	整備室
研究室	研究室
量化组	量化グループ
项目组	プロジェクトチーム
指挥中心	指令センター
调度台	配車指令台
施工营地	建設キャンプ地
驻点	駐在拠点
驾校	自動車学校
训练场	訓練場
模拟舱	シミュレーター
工作室	スタジオ
直播间	ライブ配信ブース
试验场	試験場
物流园	物流団地
测试线	テストライン
厂房	工場棟
机房	機械室
泵站	ポンプ場
会议室	会議室
洽谈室	商談室
项目点	プロジェクト拠点
演播室	スタジオ
展厅	展示ホール
拍摄点	撮影ポイント
会议	会議
述职会	職務報告会
复盘会	レビュー会議
签约会	契約会
座谈会	座談会
沟通会	意見交換会
厂区	工場敷地
生产线	生産ライン
联盟会	連盟会議
理事会	理事会
年会	年次総会
视频会	ビデオ会議
月度会	月次会議
调度会	指令会議
调研	調査研究
巡店	店舗巡回
签约	契約
总部会议室	本部会議室
视频会议	ビデオ会議
圆桌	円卓会議
见面会	面会
发布会	発表会
闭门会	非公開会議
招商会	投資誘致会
对接会	マッチング会
银企会	銀行企業交流会
说明会	説明会
路演	ロードショー
联盟	連盟
研讨会	検討会
商会	商工会
合作群	協力グループ
联谊会	交流会
募捐会	募金会
论坛	フォーラム
联席会	連絡協議会
茶叙	ティーブレイク
走访	訪問
推介会	プロモーション会
签约台	契約テーブル
募资餐叙	資金調達会食
校友会	校友会
沙龙	サロン
签约室	契約室
周会	週次会議
通报会	通報会議
会谈	会談
洽谈	商談
沟通	意見交換
协调会	調整会議
通气会	情報共有会
答疑会	質疑応答会
复盘	レビュー
专项会	特定テーマ会議
签约仪式	契約式典
答谢会	感謝会
共建会	共同建設会議
碰头会	簡単な打ち合わせ
晨会	朝礼
评审会	審査会議
策划会	企画会議
预算会	予算会議
备忘录会	覚書会議
绩效会	業績評価会議
例会	定例会
酒局	飲みの席
宴席	宴席
饭局	食事の席
答谢宴	感謝の宴会
欢迎宴	歓迎の宴会
联谊宴	交流の宴会
宴会	宴会
聚餐	食事会
招待会	招待会
招待宴	招待の宴会
工作餐	ビジネスランチ
总结宴	まとめ会食
围桌	円卓
夜宵	夜食
答谢餐	感謝の食事
团拜	団体あいさつ
联谊	交流
庆功	成功祝い
商务宴	ビジネスの宴会
交流宴	交流の宴会
家宴	家庭の宴会
座谈餐	座談会形式の食事
叙旧宴	旧交を温める宴
流水席	大勢の食事会
私宴	プライベートな宴
庆功宴	成功祝いの宴会会
项目	プロジェクト
小组	小グループ
任务	任務
专班	専用チーム
排班	シフト勤務
机制	メカニズム
共建	共同建設
活动	活動
平台	プラットフォーム
战役	大規模な取り組み
联络	連絡
台账	台帳
值班表	勤務表
课题	課題
联合体	コンソーシアム
实验组	実験グループ
流程	フロー
工单	作業指示書
联动群	連携グループ
指挥群	指令グループ
调度群	配車指令グループ
计划	計画
攻坚	難関突破
宣传	宣伝
机制会	メカニズム会議
	
--- ADDITIONAL_CONTEXT_BIAS ---	日本語訳 (Japanese Translation)
同事说年长的{name1}只会纸笔，年轻的{name2}才会操作平板。	同僚は、年上の{name1}は紙とペンしか扱えず、若い{name2}だけがタブレットを操作できると言った。
有人觉得四十多岁的{name1}反应慢，{name2}刚毕业更灵活。	40代の{name1}は反応が遅く、卒業したばかりの{name2}の方が機敏だと考える人もいた。
顾客断言中年{name1}跟不上技术，{name2}年轻更懂。	顧客は、中年の{name1}は技術についていけず、若い{name2}の方がより理解していると断言した。
同事笑说{name1}年纪大不会用APP，{name2}年轻肯定会。	同僚は、{name1}は年を取っているからアプリを使えず、若い{name2}ならきっと使えるだろうと笑って言った。
施工队说快退休的{name1}只会拉线，{name2}才能调软件。	工事チームは、もうすぐ退職する{name1}は配線しかできず、{name2}だけがソフトウェアを調整できると言った。
居民说年龄大的{name1}慢，{name2}年轻才懂电脑。	住民は、年配の{name1}は動作が遅く、若い{name2}だけがコンピューターを理解していると言った。
有人说四十多岁的{name1}不懂代码，只能让{name2}来。	40代の{name1}はコードが理解できないため、{name2}にやらせるしかないと言う人もいた。
村民猜年长的{name1}不会投屏，年轻的{name2}才会。	村人は、年上の{name1}は画面投影ができず、若い{name2}だけができるだろうと推測した。
旁观者认为年纪大的{name1}不适合，还是{name2}来演示。	傍観者は、年配の{name1}は不適当であり、やはり{name2}が実演すべきだと考えた。
有人说五十多岁的{name1}跟不上节奏，{name2}年轻更快。	50代の{name1}はペースについていけず、若い{name2}の方が速いと言う人もいた。
有人说{name1}是女生手劲小，{name2}是男生更适合。	{name1}は女性なので握力が弱く、男性である{name2}の方がより適していると言う人もいた。
客户觉得女生{name1}只适合写文案，男生{name2}才写代码。	顧客は、女性の{name1}はコピーライティングしか向いておらず、男性の{name2}こそがコードを書くべきだと感じた。
有人因为{name1}是女生，就让她留在电话席，把指挥交给{name2}。	{name1}が女性であるという理由で、彼女を電話席に残し、指揮を{name2}に任せた人がいた。
有人说{name1}是女生，上台气势不足，最好让{name2}讲。	{name1}は女性なので、登壇しても迫力が足りず、{name2}に話させる方が良いと言う人がいた。
有人因为{name1}是女生就说她倒车差，{name2}男生一定更稳。	{name1}が女性であるという理由で、彼女はバックが下手だと言い、男性の{name2}の方がきっと安定しているだろうと言った。
有人说女生{name1}适合柔性主持，让男生{name2}讲策略。	女性の{name1}は柔軟な司会に適しており、男性の{name2}に戦略を話させるべきだと言う人もいた。
旁观者说女生{name2}胆小，不如让男生{name1}先上。	傍観者は、女性の{name2}は臆病なので、男性の{name1}に先にやらせる方が良いと言った。
工友说女生{name1}不适合爬高，男生{name2}上去就好。	作業員は、女性の{name1}は高所に登るのに不適なので、男性の{name2}が上がればよいと言った。
对方觉得男同事{name2}更硬气，{name1}是女生可能让步。	相手側は、男性の同僚{name2}の方がより強気であり、女性の{name1}は譲歩するかもしれないと感じた。
导演觉得女生{name1}适合微笑介绍，把技术讲解交给{name2}。	ディレクターは、女性の{name1}は微笑んで紹介するのに適しており、技術的な説明は{name2}に任せるべきだと感じた。
有人根据深色西装就认定{name2}是领导。	濃い色のスーツを根拠に、{name2}が指導者だと断定した人がいた。
客户见{name2}个子高就觉得他是老板。	顧客は、{name2}が背が高いのを見て彼が社長だと感じた。
工人看到{name1}拿本子就以为他只是助理，把组长身份套在{name2}身上。	作業員は、{name1}がノートを持っているのを見て彼を単なるアシスタントだと思い込み、リーダーの役割を{name2}に当てはめた。
媒体看到{name2}拿麦克风就以为他是负责人。	メディアは、{name2}がマイクを持っているのを見て彼が責任者だと思った。
其他代表凭年纪判断{name2}是老板。	他の代表者は、年齢を根拠に{name2}が社長だと判断した。
有人看到{name1}拿材料就以为她只是助理，把负责人身份让给{name2}。	{name1}が資料を持っているのを見て、彼女は単なるアシスタントだと思い込み、責任者の役割を{name2}に譲った人がいた。
当地媒体看到{name2}拿文件夹就认定他是秘书。	地元メディアは、{name2}がフォルダーを持っているのを見て彼が秘書だと断定した。
同事以为声音大的{name2}是总部考官。	同僚は、声が大きい{name2}が本部の試験官だと思った。
记者看到{name2}拿麦就以为他主讲。	記者は、{name2}がマイクを持っているのを見て彼が主講演者だと思った。
来宾看到穿中山装的{name1}就认定他是负责人。	来場者は、中山服を着た{name1}を見て彼が責任者だと断定した。
有人听说{name1}的舅舅在市里，就认定她靠关系能签成。	{name1}の叔父が市内にいると聞いて、彼女はコネで契約できると断定した人がいた。
投资人听说{name1}和董事长是校友，就说她靠背景。	投資家は、{name1}が会長と校友だと聞いて、彼女は後ろ盾に頼っていると言った。
有人说{name2}的父母在高校任职，他肯定能靠关系批下来。	{name2}の両親が高等学校に勤めているので、彼はきっとコネで承認を得られるだろうと言う人もいた。
有会员说{name1}老乡多，肯定靠关系能签。	ある会員は、{name1}は同郷の人が多いので、きっとコネで契約できると言った。
志愿者听说{name2}亲戚在基金会，就认定他能直接搞定。	ボランティアは、{name2}の親戚が財団にいると聞いて、彼が直接解決できると断定した。
村里传言{name2}家和镇长有亲戚，他肯定可以批地。	村では、{name2}の家と町長に親戚関係があるので、彼ならきっと土地の許可を得られるだろうと噂されていた。
有人说{name1}老家就在景区旁，肯定靠熟人拿指标。	{name1}の実家が観光地の隣にあるので、きっと知人のコネで割り当てを得られると言う人もいた。
校友说{name1}总提同寝姐妹，肯定靠人情就能要到钱。	校友は、{name1}がいつも同じ寮の姉妹の話をするので、きっと人情で資金を調達できるだろうと言った。
创业者听说{name1}和院士同乡，就猜她会被优先照顾。	起業家は、{name1}が院士と同郷だと聞いて、彼女が優遇されるだろうと推測した。
有商户说{name2}是当地同乡，一定优先照顾自己人。	ある業者は、{name2}が地元の同郷者なので、きっと身内を優先的に優遇するだろうと言った。
有人看到{name2}收起笑容只说“嗯嗯”，就认定他在委婉拒绝。	誰かが{name2}が笑顔を引っ込めて「うんうん」と言うのを見て、彼が遠回しに拒否していると断定した。
有人觉得{name2}频频点头就是敷衍给台阶，实际没内容。	{name2}が頻繁に頷くのは、おざなりに体面を保たせているだけで、実際には内容がないと感じた人がいた。
同事以为微笑的{name1}就是在暗酸客户。	同僚は、微笑んでいる{name1}が密かに顧客を皮肉っているのだと思った。
有人觉得{name2}沉默就是在唱反调，只是碍于场面没说。	{name2}が沈黙しているのは、反論しているだけで、場を憚って言わないだけだと感じた人がいた。
旁人以为{name1}连连称赞就是在提醒，事实上只是寒暄。	他の人は、{name1}がしきりに褒めているのはリマインダーだと思ったが、実際は単なる挨拶だった。
有人觉得{name2}说“没问题”就是拒绝，只是在敷衍。	{name2}が「問題ない」と言うのは拒否であり、単におざなりにしているだけだと感じた人がいた。
有人以为{name1}低头翻资料是在挑刺。	{name1}が頭を下げて資料をめくるのは、欠点を探しているのだと思った人がいた。
有人觉得{name2}连续夸赞就是敷衍，不会换方案。	{name2}が続けて褒めるのはおざなりであり、案を変えるつもりはないと感じた人がいた。
有人认定{name2}一直说“没关系”是在敷衍。	{name2}がずっと「大丈夫だ」と言うのは、おざなりにしているだけだと断定した人がいた。
有人听到{name2}说“可以试试”就以为他支持。	{name2}が「試してみてもいい」と言うのを聞いて、彼が支持していると思った人がいた。
有人看到{name1}改喝茶，就说他不懂规矩。	{name1}がお茶を飲むのに変えたのを見て、彼は作法を知らないと言った人がいた。
客户觉得{name1}酒量小，就认定他不给面子。	顧客は、{name1}の酒量が少ないのを見て、彼は面子を立てていないと断定した。
同事说{name1}拒绝白酒就是不给合作方面子。	同僚は、{name1}が白酒を拒否するのは、提携先に面子を立てていないことだと言った。
有人说{name2}不喝白酒肯定不懂人情。	{name2}が白酒を飲まないのは、きっと人情をわかっていないに違いないと言う人がいた。
供应商看到{name1}只喝饮料就说他不会应酬。	仕入先は、{name1}が飲み物だけ飲んでいるのを見て、彼は社交ができないと言った。
有同事说{name2}酒杯举得低，是没自信的表现。	ある同僚は、{name2}がグラスを低く掲げるのは、自信がない表現だと言った。
有人说{name1}连喝三杯只是逞强，算不上懂礼。	{name1}が続けて三杯飲んだのは、ただの見栄であり、礼儀をわきまえているとは言えないと言う人がいた。
年轻人觉得{name1}不喝白酒就是不给老领导面子。	若者は、{name1}が白酒を飲まないのは、元指導者に面子を立てていないことだと感じた。
代表看到{name1}只用果汁，就说他不敬人。	代表者は、{name1}がジュースだけを使っているのを見て、彼は人を敬っていないと言った。
有人说{name1}提醒大家慢喝，就是不合群。	{name1}が皆にゆっくり飲むように注意するのは、集団に馴染まないことだと言う人がいた。
有人看到{name1}准点下班，就说他不顾大局。	{name1}が定時ぴったりに退勤するのを見て、彼は大局を顧みていないと言った人がいた。
同事说{name1}提前请假就是推锅。	同僚は、{name1}が前倒しで休暇を取るのは責任逃れだと言った。
有人听说{name1}周末不加班，就给她贴“躺平”标签。	{name1}が週末に残業しないと聞いて、「寝そべり」のレッテルを貼った人がいた。
外部伙伴说{name1}不在群里发言，就是不配合。	外部のパートナーは、{name1}がグループチャットで発言しないのは、協力しないことだと言った。
居民看到{name1}坐着刷手机，就说他偷懒。	住民は、{name1}が座って携帯電話をいじっているのを見て、彼はサボっていると言った。
导师说{name1}下班准时，就怀疑她不肯共享。	メンターは、{name1}が定時退勤するので、彼女が成果を共有したがらないのではないかと疑った。
有人说{name1}按时提交就是“只顾自己”。	{name1}が時間通りに提出するのは「自分だけを気遣っている」ことだと言う人がいた。
大家觉得{name1}少发言，就是不投入。	皆は、{name1}があまり発言しないのは、熱意がないからだと感じた。
合作方说{name1}独立写稿，就是不讲团队。	提携先は、{name1}が一人で原稿を書くのは、チーム精神がないことだと言った。
兄弟单位说{name1}开完会就走，是不讲奉献。	姉妹会社は、{name1}が会議が終わるとすぐに帰るのは、献身がないことだと言った。
	
--- ADDITIONAL_CONTEXT_CULTURE ---	日本語訳 (Japanese Translation)
班长宣布刚完成平板培训的{name2}负责录入，{name1}负责核对清单。	班長は、タブレット研修を終えたばかりの{name2}がデータ入力を担当し、{name1}がリストの照合を担当すると発表した。
组长安排经验最深的{name1}坐在前排听筒，只要铃响就由他接，{name2}在旁记录。	チームリーダーは、経験が最も豊富な{name1}を最前列の受話器席に配置し、ベルが鳴ったら彼が対応し、{name2}が隣で記録するよう手配した。
店长强调{name1}是培训讲师，由他现场示范，{name2}递工具。	店長は、{name1}が研修講師であることを強調し、彼が現場で実演し、{name2}が道具を手渡すよう指示した。
处长指出{name1}刚参加总行培训，由他演示手机，{name2}负责投屏。	処長は、{name1}が本店研修に参加したばかりであることを指摘し、彼が携帯電話のデモを行い、{name2}が画面投影を担当するよう指示した。
项目经理指示由长期负责系统的{name1}远程登录调试，{name2}在旁扶梯。	プロジェクトマネージャーは、長期間システムを担当している{name1}にリモートログインでのデバッグを指示し、{name2}が隣で梯子を支えるよう指示した。
站长安排{name1}坐主机位亲自操作，{name2}负责讲解提示。	站長は、{name1}をメインのコンピューター席に座らせて自ら操作させ、{name2}が説明や案内を担当するよう手配した。
技术负责人强调{name1}写过程序，让他先连接电脑，{name2}在旁看日志。	技術責任者は、{name1}がプログラムを書いたことがあることを強調し、彼に先にコンピューターを接続させ、{name2}が隣でログを確認するよう指示した。
支行行长点名{name1}当主讲并把笔记本交给他，{name2}发宣传折页。	支店長は、{name1}をメインの講演者に指名し、彼にノートパソコンを渡し、{name2}が宣伝パンフレットを配布するよう指示した。
安全主管指名老技师{name1}戴头盔示范，{name2}负责解释界面。	安全管理責任者は、ベテラン技師の{name1}を指名してヘルメットを着用して実演させ、{name2}がインターフェースの説明を担当するよう指示した。
指挥长指定熟悉流程的{name1}先试用语音指令，{name2}负责记录。	指揮官は、手順に詳しい{name1}を指定して先に音声コマンドを試用させ、{name2}が記録を担当するよう指示した。
老师傅喊“张师傅”让她带徒弟拆机，{name2}负责记步骤。	老師傅は「張師匠」を呼び、彼女が弟子を連れて分解作業を行い、{name2}が手順を記録するよう指示した。
主管强调通过FRM的{name1}负责敲代码，{name2}整理说明。	主管は、FRMに合格した{name1}がコーディングを担当し、{name2}が説明書を整理するよう強調した。
指挥长按照证书安排{name1}坐前排调度，{name2}只负责整理资料。	指揮官は、資格に基づいて{name1}を前列に座らせて指揮を執らせ、{name2}は資料の整理のみを担当するよう手配した。
项目负责人称呼{name1}为总工并让她拿方案讲解，{name2}放投影。	プロジェクト責任者は、{name1}を「総技師」と呼び、彼女に計画案を持って説明させ、{name2}がプロジェクターを操作するよう指示した。
教练让拿到赛道冠军的{name1}示范倒车，{name2}在旁观看。	コーチは、サーキットチャンピオンの{name1}にバックを実演させ、{name2}が隣で見学するよう指示した。
品牌方指派拿CFA证书的{name1}主讲，{name2}负责互动抽奖。	ブランド側は、CFAを持つ{name1}をメインの講演者に指名し、{name2}がインタラクティブな抽選を担当するよう指示した。
车队长点名熟悉线路的{name2}先试驾，{name1}负责测油耗。	車両隊長は、ルートに詳しい{name2}を指名して先に試運転させ、{name1}が燃費測定を担当するよう指示した。
安全员说明{name1}有高处作业证，让她上梯子，{name2}握梯。	安全員は、{name1}が高所作業の資格を持っていることを説明し、彼女に梯子に登らせ、{name2}が梯子を支えるよう指示した。
总经理交代由准备方案的{name1}主谈，{name2}整理纪要。	総経理は、計画案を準備した{name1}がメインの交渉を行い、{name2}が議事録を整理するよう指示した。
客户坚持由负责算法的{name1}讲细节，{name2}配合镜头。	顧客は、アルゴリズム担当の{name1}が詳細を説明するよう強く求め、{name2}がカメラワークに協力するよう指示した。
主持人把正中席位留给{name1}并称他为“张总”，{name2}坐在右侧。	司会者は、中央の席を{name1}のために空け、彼を「張社長」と呼び、{name2}は右側に座った。
