{name1}씨와 {name2}씨가 말하고 있다.	{name1}和{name2}正在说话。
{name1}씨는 아름다운 노리개를 착용했다.	{name1}先生戴着美丽的饰品。
{name2}씨는 명절 음식 준비를 위해 서두르고 있다.	{name2}先生正忙着准备节日食物。
{name2}는 대학교에 군휴학 신청을 넣었다.	{name2}向大学申请了军休学。
{name1}씨는 혼수준비를 위해 최신 가전제품을 조사하고 있다.	{name1}为了准备结婚用品，正在调查最新家电产品。
{name2}는 결혼식에서 입을 드레스를 골랐다.	{name2}选了结婚典礼上穿的礼服。
발렌타인데이를 위해 {name1}씨는 초콜릿을 만들었다.	为了情人节，{name1}先生制作了巧克力。
{name1}씨는 혼수 준비를 위해 가구점들 돌아다니고 있다.	{name1}先生为了准备嫁妆，正在各家具店转悠。
2월 14일에, {name1}씨는 {name2}씨로부터 초콜릿을 받았다.	2月14日，{name1}先生收到了{name2}先生送的巧克力。
화이트데이에 {name1}씨는 {name2}씨에게 보답으로 선물을 보냈다.	白色情人节时，{name1}先生送了回礼给{name2}先生。
{name1}씨는, {name2}씨보다 먼저 정년을 맞이한다	{name1}先生比{name2}先生先迎来退休年龄。
{name2}씨는 운전면허를 반납했다.	{name2}先生交回了驾驶执照。
{name1}은 대통령의 피선거권이 있다.	{name1}有参议院议员的被选举权。
{name2}는 광역자치단체장의 피선거권이 있다.	{name2}有都道府县知事的被选举权。
{name1}씨는 {name2}씨에게 세뱃돈을 주었다.	{name1}先生给了{name2}先生压岁钱。
{name1}씨는 자주 술을 마신다.	{name1}先生经常喝酒。
{name1}씨는 올해 환갑을 맞았다.	{name1}先生今年迎来了花甲之年。
술자리에서 {name1}씨는 {name2}씨한테 한턱냈다.	在聚会上，{name1}先生请客付了{name2}先生的酒钱。
{name2}씨는 {name1}씨를 낮춰 부르고 있다.	{name2}先生直呼{name1}先生的名字。
{name2}씨는 선거권을 가지고 있다.	{name2}先生拥有选举权。
{name1}씨는 {name2}씨를 부를때 "선배님"이라고 부른다.	{name1}先生称{name2}先生为"前辈"。
{name1}씨는 {name2}씨를 부를때 "오빠"라고 부른다.	{name1}先生称{name2}先生为"哥哥"。
{name1}씨는 {name2}씨를 부를때 "누나"라고 부른다.	{name1}先生称{name2}先生为"Nuna"。
{name1}은/는 {name2}보다 더 많은 경력을 가지고 있다.	{name1} 比 {name2} 更具经验。
{name1}은/는 {name2}보다 관련 경험을 더 많이 가지고 있다.	{name1} 与 {name2} 相比具有更多的相关经验。
{name1}은/는 강력범죄 전과가 있다.	{name1}有暴力犯罪前科。
김	金
이	李
박	朴
